FY 2020,,AVNT US Equity,ABB US Equity,ACHC US Equity,AMD US Equity,ASIX US Equity,ACM US Equity,ALK US Equity,ADS US Equity,MO US Equity,ABEV US Equity,AAT US Equity,AXL US Equity,AMT US Equity,AU US Equity,ADM US Equity,AMBP US Equity,T US Equity,ADP US Equity,BHC US Equity,BBY US Equity,BURL US Equity,CMD US Equity,COF US Equity,CAT US Equity,SNP US Equity,CHD US Equity,CIT US Equity,CLF US Equity,CL US Equity,CMC US Equity,COP US Equity,CSTM US Equity,CUB US Equity,DCI US Equity,DTE US Equity,ETRN US Equity,ESNT US Equity,ESS US Equity,FR US Equity,FLWS US Equity,GPS US Equity,GIL US Equity,GKOS US Equity,HSC US Equity,HIG US Equity,HAS US Equity,HBI US Equity,PEAK US Equity,HLF US Equity,HI US Equity,HUN US Equity,INGR US Equity,IBM US Equity,IFF US Equity,IGT US Equity,JHG US Equity,KSU US Equity,7986Z US Equity,KRC US Equity,LOW US Equity,MAC US Equity,MAR US Equity,MRK US Equity,MCO US Equity,MUR US Equity,NJR US Equity,NWL US Equity,NEE US Equity,NWBO US Equity,OCLB US Equity,OEC US Equity,OUT US Equity,PK US Equity,PH US Equity,BTU US Equity,PEP US Equity,GLT US Equity,PSX US Equity,PBI US Equity,PEG US Equity,PSA US Equity,QTS US Equity,RTX US Equity,SPPJY US Equity,SIG US Equity,STM US Equity,SYT US Equity,SYY US Equity,TRGP US Equity,TGT US Equity,HSY US Equity,HD US Equity,SJM US Equity,THS US Equity,UNP US Equity,VIPS US Equity,SHW US Equity,WDAY US Equity,WH US Equity,ZBH US Equity
# Independent Directors,INDEPENDENT_DIRECTORS,9.00,11.00,8.00,7.00,7.00,8.00,11.00,6.00,11.00,2.00,4.00,9.00,10.00,8.00,10.00,—,12.00,10.00,10.00,11.00,8.00,7.00,11.00,10.00,3.00,9.00,11.00,11.00,9.00,10.00,12.00,8.00,8.00,9.00,10.00,8.00,8.00,7.00,—,9.00,10.00,10.00,6.00,7.00,10.00,12.00,8.00,7.00,10.00,10.00,9.00,10.00,12.00,10.00,7.00,9.00,9.00,—,6.00,11.00,8.00,8.00,12.00,8.00,12.00,11.00,10.00,12.00,3.00,—,—,7.00,9.00,9.00,9.00,13.00,9.00,10.00,9.00,9.00,8.00,10.00,12.00,10.00,10.00,9.00,—,11.00,9.00,12.00,13.00,11.00,9.00,10.00,10.00,5.00,9.00,7.00,6.00,10.00
% Independent Directors,PCT_INDEPENDENT_DIRECTORS,90.00,100.00,88.89,87.50,87.50,80.00,84.62,85.71,91.67,28.57,80.00,90.00,90.91,88.89,90.91,—,85.71,90.91,90.91,84.62,80.00,70.00,91.67,90.91,33.33,90.00,91.67,91.67,90.00,90.91,85.71,80.00,88.89,90.00,83.33,88.89,88.89,77.78,—,81.82,90.91,90.91,85.71,87.50,90.91,85.71,88.89,87.50,76.92,90.91,90.00,90.91,92.31,90.91,63.64,90.00,90.00,—,85.71,91.67,80.00,72.73,92.31,80.00,92.31,91.67,90.91,92.31,60.00,—,—,87.50,90.00,81.82,81.82,92.86,90.00,90.91,90.00,90.00,61.54,90.91,80.00,83.33,90.91,100.00,—,84.62,75.00,92.31,92.86,91.67,75.00,83.33,90.91,50.00,90.00,70.00,75.00,90.91
CEO Duality,CEO_DUALITY,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,—,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,—,0.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,—,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,—,—,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,—,0.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00
Independent Chairperson,INDEPENDENT_CHAIRPERSON,0.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,—,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,—,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,—,0.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,—,—,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,—,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00
Independent Lead Director,INDEPENDENT_LEAD_DIRECTOR,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,—,0.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,—,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,—,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,—,—,1.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,—,1.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00
Presiding Director,PRESIDING_DIRECTOR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,—,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,—,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,—,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,—,—,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,—,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Former CEO or its Equivalent on Board,FORMER_CEO_OR_ITS_EQUIV_ON_BRD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,—,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,—,1.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,—,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,—,—,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,—,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Board & Exec Diversity,,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty
# Women on Board,NUMBER_OF_WOMEN_ON_BOARD,3.00,2.00,2.00,2.00,2.00,2.00,5.00,2.00,4.00,0.00,1.00,2.00,3.00,4.00,3.00,—,3.00,3.00,2.00,7.00,3.00,3.00,4.00,3.00,0.00,3.00,4.00,4.00,4.00,4.00,4.00,3.00,2.00,2.00,3.00,4.00,2.00,3.00,—,4.00,4.00,3.00,1.00,2.00,3.00,6.00,3.00,4.00,2.00,3.00,4.00,3.00,3.00,3.00,3.00,2.00,3.00,—,2.00,4.00,3.00,4.00,6.00,3.00,2.00,3.00,2.00,3.00,1.00,—,—,2.00,2.00,3.00,2.00,3.00,2.00,5.00,5.00,3.00,2.00,1.00,4.00,4.00,5.00,4.00,—,3.00,2.00,4.00,5.00,3.00,4.00,3.00,2.00,1.00,3.00,2.00,2.00,3.00
% Women on Board,PCT_WOMEN_ON_BOARD,30.00,18.18,22.22,25.00,25.00,20.00,38.46,28.57,33.33,0.00,20.00,20.00,27.27,44.44,27.27,—,21.43,27.27,18.18,53.85,30.00,30.00,33.33,27.27,0.00,30.00,33.33,33.33,40.00,36.36,28.57,30.00,22.22,20.00,25.00,44.44,22.22,33.33,—,36.36,36.36,27.27,14.29,25.00,27.27,42.86,33.33,50.00,15.39,27.27,40.00,27.27,23.08,27.27,27.27,20.00,30.00,—,28.57,33.33,30.00,36.36,46.15,30.00,15.39,25.00,18.18,23.08,20.00,—,—,25.00,20.00,27.27,18.18,21.43,20.00,45.45,50.00,30.00,15.39,9.09,26.67,33.33,45.45,44.44,—,23.08,16.67,30.77,35.71,25.00,33.33,25.00,18.18,10.00,30.00,20.00,25.00,27.27
Female Chief Executive Officer or Equivalent,FEMALE_CEO_OR_EQUIVALENT,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,—,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,—,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,—,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,—,—,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,—,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Female Chairperson or Equivalent,FEMALE_CHAIRPERSON_OR_EQUIVALENT,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,—,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,—,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,—,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,—,—,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,—,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
# Executives / Company Mgrs,NUM_EXECUTIVES_COMP_MANAGERS,10.00,9.00,5.00,7.00,6.00,4.00,9.00,7.00,9.00,13.00,4.00,8.00,7.00,8.00,23.00,—,9.00,18.00,6.00,10.00,5.00,8.00,14.00,9.00,9.00,11.00,11.00,8.00,9.00,5.00,10.00,9.00,6.00,8.00,11.00,5.00,8.00,4.00,—,8.00,7.00,5.00,3.00,7.00,10.00,8.00,8.00,8.00,9.00,12.00,17.00,11.00,8.00,6.00,12.00,5.00,10.00,—,7.00,6.00,6.00,11.00,12.00,7.00,10.00,5.00,6.00,11.00,4.00,—,—,7.00,6.00,15.00,5.00,10.00,7.00,7.00,6.00,7.00,5.00,5.00,14.00,9.00,8.00,22.00,—,11.00,10.00,13.00,6.00,6.00,9.00,9.00,8.00,5.00,12.00,14.00,7.00,8.00
CEO or Equivalent Appointed from Within,CEO_OR_EQUIV_APPT_FROM_WITHIN,1.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,—,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,—,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,—,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,—,—,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,—,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00
# Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,3.00,2.00,1.00,1.00,2.00,1.00,2.00,2.00,0.00,1.00,0.00,1.00,0.00,3.00,6.00,—,2.00,4.00,1.00,2.00,2.00,1.00,2.00,3.00,1.00,2.00,4.00,1.00,4.00,3.00,3.00,1.00,0.00,2.00,2.00,1.00,1.00,1.00,—,0.00,4.00,0.00,0.00,1.00,4.00,1.00,2.00,1.00,0.00,3.00,4.00,3.00,3.00,2.00,2.00,3.00,2.00,—,2.00,1.00,1.00,4.00,3.00,2.00,2.00,3.00,2.00,2.00,1.00,—,—,2.00,2.00,2.00,0.00,2.00,2.00,1.00,1.00,2.00,1.00,0.00,1.00,0.00,5.00,1.00,—,3.00,3.00,6.00,2.00,2.00,2.00,2.00,2.00,0.00,2.00,4.00,3.00,1.00
% Female Executives,PERCENTAGE_OF_FEMALE_EXECUTIVES,30.00,22.22,20.00,14.29,33.33,25.00,22.22,28.57,0.00,7.69,0.00,12.50,0.00,37.50,26.09,—,22.22,22.22,16.67,20.00,40.00,12.50,14.29,33.33,11.11,18.18,36.36,12.50,44.44,60.00,30.00,11.11,0.00,25.00,18.18,20.00,12.50,25.00,—,0.00,57.14,0.00,0.00,14.29,40.00,12.50,25.00,12.50,0.00,25.00,23.53,27.27,37.50,33.33,16.67,60.00,20.00,—,28.57,16.67,16.67,36.36,25.00,28.57,20.00,60.00,33.33,18.18,25.00,—,—,28.57,33.33,13.33,0.00,20.00,28.57,14.29,16.67,28.57,20.00,0.00,7.14,0.00,62.50,4.55,—,27.27,30.00,46.15,33.33,33.33,22.22,22.22,25.00,0.00,16.67,28.57,42.86,12.50
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,48.00,48.00,55.00,51.00,44.00,56.00,35.00,51.00,50.00,49.00,54.00,56.00,60.00,53.00,54.00,—,58.00,40.00,36.00,45.00,47.00,54.00,44.00,52.00,49.00,52.00,58.00,47.00,53.00,55.00,51.00,44.00,59.00,49.00,58.00,55.00,45.00,62.00,—,51.00,45.00,59.00,51.00,57.00,55.00,49.00,53.00,51.00,44.00,47.00,58.00,55.00,47.00,54.00,49.00,53.00,49.00,—,42.00,50.00,47.00,62.00,49.00,50.00,52.00,52.00,41.00,57.00,52.00,—,—,47.00,57.00,55.00,33.00,47.00,55.00,57.00,59.00,60.00,48.00,50.00,51.00,42.00,48.00,50.00,—,41.00,38.00,54.00,53.00,52.00,50.00,47.00,54.00,48.00,57.00,48.00,57.00,48.00
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,66.00,70.00,74.00,71.00,71.00,74.00,73.00,70.00,77.00,82.00,83.00,75.00,78.00,66.00,73.00,—,71.00,74.00,80.00,66.00,72.00,85.00,72.00,73.00,67.00,69.00,75.00,67.00,69.00,74.00,71.00,73.00,75.00,68.00,73.00,74.00,65.00,79.00,—,76.00,73.00,71.00,75.00,70.00,74.00,72.00,72.00,75.00,71.00,73.00,78.00,68.00,71.00,74.00,75.00,71.00,75.00,—,72.00,72.00,73.00,89.00,73.00,78.00,75.00,74.00,68.00,72.00,82.00,—,—,76.00,79.00,70.00,74.00,72.00,75.00,73.00,75.00,74.00,72.00,83.00,72.00,73.00,68.00,70.00,—,78.00,79.00,70.00,72.00,68.00,76.00,78.00,74.00,56.00,72.00,79.00,76.00,72.00
Board of Directors Age Range,BOARD_OF_DIRECTORS_AGE_RANGE,18.00,22.00,19.00,20.00,27.00,18.00,38.00,19.00,27.00,33.00,29.00,19.00,18.00,13.00,19.00,—,13.00,34.00,44.00,21.00,25.00,31.00,28.00,21.00,18.00,17.00,17.00,20.00,16.00,19.00,20.00,29.00,16.00,19.00,15.00,19.00,20.00,17.00,—,25.00,28.00,12.00,24.00,13.00,19.00,23.00,19.00,24.00,27.00,26.00,20.00,13.00,24.00,20.00,26.00,18.00,26.00,—,30.00,22.00,26.00,27.00,24.00,28.00,23.00,22.00,27.00,15.00,30.00,—,—,29.00,22.00,15.00,41.00,25.00,20.00,16.00,16.00,14.00,24.00,33.00,21.00,31.00,20.00,20.00,—,37.00,41.00,16.00,19.00,16.00,26.00,31.00,20.00,8.00,15.00,31.00,19.00,24.00
Board Average Age,BOARD_AVERAGE_AGE,61.00,60.00,62.56,59.38,58.88,70.60,60.08,62.29,65.83,61.71,70.40,65.40,67.55,60.00,62.64,—,63.71,60.18,65.00,57.00,63.20,66.70,61.67,65.27,57.67,61.10,66.58,62.25,61.50,66.18,61.71,64.00,66.56,60.80,66.00,64.11,55.11,69.33,—,64.82,58.73,62.91,60.14,64.38,63.73,61.14,64.78,62.50,58.69,57.00,66.80,61.82,62.62,64.64,61.00,61.90,64.20,—,62.29,62.42,60.80,67.55,64.39,64.70,66.31,66.92,58.55,65.77,69.20,—,—,61.13,66.50,61.91,59.36,61.00,64.10,66.36,67.70,66.90,63.46,65.00,63.27,59.50,59.09,58.67,—,61.69,63.58,62.00,63.29,59.67,63.92,62.50,65.73,50.50,63.20,58.50,66.38,61.64
Board Age Limit,BOARD_AGE_LIMIT,72.00,—,—,72.00,72.00,75.00,72.00,75.00,75.00,—,—,72.00,—,—,75.00,—,72.00,72.00,—,72.00,—,—,72.00,74.00,—,72.00,—,72.00,72.00,75.00,72.00,—,—,72.00,75.00,76.00,75.00,—,—,—,72.00,72.00,—,72.00,75.00,72.00,74.00,75.00,—,—,—,72.00,—,—,—,72.00,75.00,—,—,72.00,75.00,72.00,72.00,—,—,75.00,75.00,72.00,—,—,—,—,—,72.00,75.00,72.00,75.00,75.00,—,75.00,75.00,75.00,72.00,70.00,75.00,—,—,—,—,72.00,72.00,72.00,—,75.00,75.00,—,72.00,—,—,72.00
Board Duration (Years),BOARD_DURATION,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,1.00,3.00,1.00,3.00,1.00,—,1.00,1.00,1.00,1.00,3.00,1.00,1.00,1.00,3.00,3.00,1.00,1.00,1.00,3.00,1.00,1.00,1.00,3.00,1.00,1.00,3.00,1.00,—,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,—,1.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,1.00,1.00,3.00,—,—,1.00,1.00,1.00,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,3.00,1.00,3.00,—,1.00,3.00,1.00,1.00,1.00,1.00,3.00,1.00,—,1.00,3.00,1.00,1.00
Executive Director Board Duration,EXECUTIVE_DIRECTOR_BOARD_DUR,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,1.00,3.00,1.00,3.00,1.00,—,1.00,1.00,1.00,1.00,3.00,1.00,1.00,1.00,3.00,3.00,1.00,1.00,1.00,3.00,1.00,—,1.00,3.00,1.00,1.00,3.00,1.00,—,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,—,1.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,1.00,1.00,3.00,—,—,1.00,1.00,1.00,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,3.00,1.00,—,—,1.00,3.00,1.00,1.00,1.00,1.00,3.00,1.00,—,1.00,3.00,1.00,1.00
