FY 2020,,AVNT US Equity,ABB US Equity,ACHC US Equity,AMD US Equity,ASIX US Equity,ACM US Equity,ALK US Equity,ADS US Equity,MO US Equity,ABEV US Equity,AAT US Equity,AXL US Equity,AMT US Equity,AU US Equity,ADM US Equity,AMBP US Equity,T US Equity,ADP US Equity,BHC US Equity,BBY US Equity,BURL US Equity,CMD US Equity,COF US Equity,CAT US Equity,SNP US Equity,CHD US Equity,CIT US Equity,CLF US Equity,CL US Equity,CMC US Equity,COP US Equity,CSTM US Equity,CUB US Equity,DCI US Equity,DTE US Equity,ETRN US Equity,ESNT US Equity,ESS US Equity,FR US Equity,FLWS US Equity,GPS US Equity,GIL US Equity,GKOS US Equity,HSC US Equity,HIG US Equity,HAS US Equity,HBI US Equity,PEAK US Equity,HLF US Equity,HI US Equity,HUN US Equity,INGR US Equity,IBM US Equity,IFF US Equity,IGT US Equity,JHG US Equity,KSU US Equity,7986Z US Equity,KRC US Equity,LOW US Equity,MAC US Equity,MAR US Equity,MRK US Equity,MCO US Equity,MUR US Equity,NJR US Equity,NWL US Equity,NEE US Equity,NWBO US Equity,OCLB US Equity,OEC US Equity,OUT US Equity,PK US Equity,PH US Equity,BTU US Equity,PEP US Equity,GLT US Equity,PSX US Equity,PBI US Equity,PEG US Equity,PSA US Equity,QTS US Equity,RTX US Equity,SPPJY US Equity,SIG US Equity,STM US Equity,SYT US Equity,SYY US Equity,TRGP US Equity,TGT US Equity,HSY US Equity,HD US Equity,SJM US Equity,THS US Equity,UNP US Equity,VIPS US Equity,SHW US Equity,WDAY US Equity,WH US Equity,ZBH US Equity
Total Water Use,TOTAL_WATER_USE,"2,064.95","4,257.20",—,—,—,—,37.46,—,—,"46,604.60",784.24,—,45.00,"122,391.00",—,—,"10,137.80",—,—,"1,260.00",810.72,—,—,"12,795.30",—,"1,874.57",—,"3,622,630.00",—,"11,583.80",—,"25,900.00",—,—,—,—,—,"11,904.40",—,—,—,"12,630.00",—,—,161.03,—,"7,653.43","5,487.89",314.00,—,"19,619.70",—,"1,305.80","4,680.00",259.39,—,—,—,659.08,"8,820.41","2,588.76","101,325.00",—,—,—,—,—,"7,704,040.00",—,—,—,—,—,—,"32,758.80",—,—,—,—,"9,900.00",—,—,—,—,—,"34,056.00",—,—,"12,848.30","10,986.00","5,444.70",—,"3,441.52",—,"2,990.61",—,—,—,—,—
Hazardous Waste,HAZARDOUS_WASTE,1.89,8.00,—,0.00,—,—,0.08,—,—,0.13,—,—,—,21.99,—,—,0.04,—,—,0.04,0.20,—,—,—,731.10,0.41,—,554.43,4.00,71.86,28.20,63.74,—,—,—,—,—,—,—,—,—,1.21,0.00,—,—,—,—,0.00,0.03,—,72.97,—,1.42,24.30,0.62,—,1.11,—,—,1.84,0.00,—,43.00,—,0.04,—,—,0.29,—,—,—,—,—,—,—,—,—,30.00,—,7.45,—,—,20.36,—,—,19.61,—,—,—,1.11,0.02,—,—,—,—,—,64.80,—,—,—
Total Waste,TOTAL_WASTE,23.71,192.00,—,0.49,—,—,0.08,—,—,—,—,—,—,"210,915.00",—,—,199.75,—,—,91.25,85.32,—,—,554.00,"2,441.90",34.45,—,"195,231.00",146.00,"1,137.06",295.10,158.08,—,—,—,—,—,74.03,—,—,—,45.55,—,—,—,—,—,36.16,9.68,—,599.70,—,23.62,73.04,9.20,—,45.92,—,5.43,639.84,51.91,—,77.58,0.54,94.59,—,141.00,62.15,—,—,—,—,—,—,—,"2,384.41",—,—,—,386.60,—,—,—,—,—,49.01,—,—,—,877.77,62.40,—,392.30,—,"1,905.09",—,352.10,—,—,—
Paper Consumption,PAPER_CONSUMPTION,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,12.59,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,11.64,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Environmental Fines $,ENVIRON_FINES_AMT,—,—,—,0.00,—,—,0.00,—,—,0.73,—,—,—,—,—,—,0.01,—,—,—,—,—,—,—,—,0.00,—,—,0.00,—,—,—,—,—,—,—,—,—,—,—,—,0.00,—,—,—,—,—,—,—,—,—,—,0.00,—,—,—,0.00,—,—,—,0.00,—,0.02,—,0.00,—,—,—,—,—,—,—,—,—,—,—,—,—,—,0.00,—,—,—,—,—,—,—,—,—,—,—,—,0.00,—,—,—,—,—,0.00,—
Social,,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,49.12,54.39,17.54,43.86,42.11,33.33,43.86,47.37,—,43.86,14.04,42.11,56.14,47.37,54.39,—,57.81,38.60,17.54,33.33,33.33,28.07,—,38.60,59.38,31.58,26.67,49.12,—,49.12,—,—,29.82,31.58,—,63.16,31.67,52.63,—,19.30,49.12,63.16,54.39,38.60,46.67,—,—,—,59.65,29.82,47.37,—,40.35,—,49.12,41.67,43.86,—,43.86,33.33,49.12,42.11,59.65,54.39,48.44,29.69,33.33,45.31,14.04,—,—,—,—,26.32,28.07,54.39,—,43.86,63.16,—,43.86,—,28.07,—,54.39,63.16,—,—,33.33,49.12,64.91,38.60,33.33,—,47.37,—,43.86,33.33,—,33.33
Number of Employees,NUMBER_EMPLOYEES_CSR,"8,400.00","105,600.00","42,200.00","12,600.00","1,400.00","54,000.00","20,160.00","8,000.00",—,"38,502.00",189.00,"20,000.00","5,618.00","20,730.00","39,088.00",—,"230,760.00","58,000.00","21,600.00","125,000.00","47,000.00","3,669.00",—,"97,300.00","384,065.00","5,108.00","4,163.00","25,000.00","34,200.00","11,297.00","9,700.00","12,156.00","6,100.00","12,400.00",—,777.00,381.00,"1,799.00",—,"4,300.00","129,000.00","44,425.00",653.00,"12,000.00","18,500.00",—,"61,000.00",217.00,"9,900.00","11,000.00","8,980.00","12,000.00","345,900.00","14,785.00","11,048.00","4,097.00","6,522.00",—,252.00,"320,000.00",670.00,"121,000.00","74,000.00","11,490.00",675.00,"1,157.00","31,000.00","14,900.00",19.00,—,—,—,—,"50,520.00","4,600.00","281,586.00",—,"14,300.00","11,500.00","12,788.00","5,427.00",—,"181,000.00","13,790.00","26,749.00","46,016.00",—,"57,000.00","2,372.00","368,000.00","16,877.00","415,700.00","7,300.00",—,"30,965.00",—,"61,031.00","12,230.00","9,000.00","20,000.00"
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,8.10,16.00,—,7.00,—,—,—,—,—,—,—,—,7.00,—,—,—,—,—,—,30.00,—,—,—,—,0.69,—,10.60,—,—,—,5.30,10.28,—,—,—,6.20,—,26.00,—,—,—,27.00,16.87,19.00,—,—,—,6.91,12.91,—,—,—,—,12.70,13.52,—,8.00,—,—,—,13.00,—,8.50,11.00,—,—,—,—,—,—,—,—,—,—,—,19.12,—,5.00,—,5.60,—,—,—,6.62,—,14.00,—,—,—,—,27.21,—,—,—,—,—,—,—,—,—
Pct Employees Unionized,PCT_EMPLOYEES_UNIONIZED,1.00,—,—,—,50.35,7.40,79.73,—,—,—,0.00,72.00,8.00,—,16.30,—,37.00,—,—,—,—,0.00,—,40.00,100.00,—,—,74.00,24.70,17.00,—,84.00,—,—,—,0.00,0.00,0.00,—,0.00,—,53.00,—,—,0.00,—,—,0.00,0.00,26.00,42.00,32.00,—,19.90,—,0.00,75.00,—,1.00,—,0.00,16.52,30.00,10.00,—,49.30,—,23.20,—,—,—,—,—,—,—,51.00,—,—,—,60.90,—,—,22.65,57.00,1.00,78.00,—,24.00,0.00,—,37.00,—,24.00,—,83.00,—,—,0.00,7.00,—
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,—,26.00,—,24.00,—,—,54.00,62.00,—,17.70,45.50,22.00,25.00,—,23.00,—,34.30,53.00,—,28.00,75.00,—,—,20.00,33.10,41.00,—,12.00,40.20,12.00,27.00,13.00,25.00,—,—,23.00,—,42.00,—,—,76.00,45.00,38.00,—,59.70,—,—,47.00,51.00,—,28.30,—,33.90,38.00,31.46,39.00,5.00,—,59.00,—,58.00,54.00,49.00,41.00,21.00,30.40,47.90,24.00,—,—,—,—,—,—,—,24.41,—,20.90,43.00,18.00,69.00,—,—,19.44,74.90,34.00,—,20.00,16.00,58.00,48.14,37.00,30.00,—,6.00,—,24.50,—,60.00,—
